status,employee id,employee email,employee first name,employee last name,start date,end date,employee job title,annual salary (usd),benefits and others,bonus target - % of salary,commission - % of salary,cost center,equity,function,job family,job level,job location,manager’s employee id,okr,employment type
ACTIVE,E000001,dfdemostagingaida.phillips@gmail.com,Aida,Phillips,9/1/2018,,Chief Executive Officer,179640,17964,0.30,0.00,100 - C-Suite,17964,CEO Office,General Management,C-level,US - SF Bay Area,,,Permanent Full-time
ACTIVE,E000002,dfdemostagingkevin.grant@gmail.com,Kevin,Grant,9/1/2018,,Chief Technology Officer,161352,17928,0.30,0.00,201 - Eng B2B,17928,Engineering,Engineering/Management,C-level,US - SF Bay Area,E000001,,Permanent Full-time
ACTIVE,E000003,dfdemostagingvaleria.williams@gmail.com,Valeria,Williams,11/1/2018,,Account Executive,69696,12480,0.14,0.15,401 - Sales,4800,Sales,Sales,Mid-level,US - Remote,E000034,2x B2B Customers,Permanent Full-time
ACTIVE,E000004,dfdemostagingrafael.carter@gmail.com,Rafael,Carter,11/10/2018,,Associate Customer Success Manager,63717,11412,0.12,0.00,402 - Cust Success,2853,Sales,Customer Success,Associate,US - Remote,E000022,Triple follow-up meetings booked per week to 24,Permanent Full-time
ACTIVE,E000005,dfdemostagingmadaline.campbell@gmail.com,Madaline,Campbell,12/5/2018,,Associate Account Executive,63624,11568,0.12,0.15,401 - Sales,2892,Sales,Sales,Associate,US - Remote,E000034,2x B2B Customers,Permanent Full-time
ACTIVE,E000006,dfdemostagingcharlotte.Williams@gmail.com,Charlotte,Williams,1/8/2019,2/11/222,Associate Customer Success Manager,63784,11424,0.12,0.00,402 - Cust Success,2856,Sales,Customer Success,Associate,US - Remote,E000022,,Permanent Full-time
ACTIVE,E000007,dfdemostagingemma.murray@gmail.com,Emma,Murray,1/14/2019,,Engineering Director,126360,15600,0.20,0.00,202 - Eng B2C,11700,Engineering,Engineering/Management,Director,US - Boston,E000002,Average code review time reduced by 30%,Permanent Full-time
ACTIVE,E000008,dfdemostaginglenny.carroll@gmail.com,Lenny,Carroll,2/8/2019,,Senior BE Engineer,52337,7636,0.14,0.00,202 - Eng B2C,2937,Engineering,Engineering/BE,Senior,Europe - Krakow,E000007,New bug reports reduced from 72/mon to 60/mon,Permanent Full-time
ACTIVE,E000009,dfdemostagingkelsey.crawford@gmail.com,Kelsey,Crawford,3/27/2019,,Senior FE Engineer,52391,7644,0.14,0.00,202 - Eng B2C,2940,Engineering,Engineering/FE,Senior,Europe - Krakow,E000007,Certif'y 100% of team members on migrated database,Permanent Full-time
ACTIVE,E000010,dfdemostagingantony.dixon@gmail.com,Antony,Dixon,4/15/2019,,Principal FE Engineer,95062,13692,0.16,0.00,201 - Eng B2B,7824,Engineering,Engineering/FE,Principal,US - Remote,E000020,Certify 100% of team members on migrated database,Permanent Full-time
ACTIVE,E000011,dfdemostagingmiley.stewart@gmail.com,Miley,Stewart,5/19/2019,4/8/2022,FE Engineer,47968,7106,0.12,0.00,202 - Eng B2C,1777,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000007,,Permanent Full-time
ACTIVE,E000012,dfdemostagingjulian.perry@gmail.com,Julian,Perry,5/19/2019,,FE Engineer,48017,7114,0.12,0.00,202 - Eng B2C,1778,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000007,New bug reports reduced from 72/mon to 60/mon,Permanent Full-time
ACTIVE,E000013,dfdemostagingjames.perkins@gmail.com,James’,Perkins,5/20/2019,,Associate Product Designer,68164,10681,0.10,0.00,300 - Product,2428,Product,Design,Associate,US - Remote,E000016,Reduce average response time to customer security and compliance requests from 3 business days to 2,Permanent Full-time
ACTIVE,E000014,dfdemostagingsofia.murray@gmail.com,Sofia,Murray,7/25/2019,,Senior Account Executive,75794,13398,0.16,0.15,401 - Sales,7656,Sales,Sales,Senior,US - Remote,E000034,2x B2B Customers,Permanent Full-time
ACTIVE,E000015,dfdemostagingannabella.grant@gmail.com,Annabella,Grant,9/1/2019,,Associate Customer Success Manager,63851,11436,0.12,0.00,402 - Cust Success,2859,Sales,Customer Success,Associate,US - Remote,E000022,10% increase in the troubleshooting chats and interviews over the next quarter,Permanent Full-time
ACTIVE,E000016,dfdemostagingfreddie.cunningham@gmail.com,Freddie,Cunningham,10/23/2019,,VP of Product Management,143762,16558,0.25,0.00,300 - Product,14610,Product,Product Management,VP,US - SF Bay Area,E000001,3X User adoption and experience,Permanent Full-time
ACTIVE,E000017,dfdemostagingcarlos.nelson@gmail.com,Carlos,Nelson,11/5/2019,1/28/2022,Associate Account Executive,63690,11580,0.12,0.15,401 - Sales,2895,Sales,Sales,Associate,US - Remote,E000034,,Permanent Full-time
ACTIVE,E000018,dfdemostagingderek.taylor@gmail.com,Derek,Taylor,11/5/2019,2/18/2022,Associate Account Executive,63756,11592,0.12,0.15,401 - Sales,2898,Sales,Sales,Associate,US - Remote,E000034,,Permanent Full-time
ACTIVE,E000019,dfdemostagingthomas.murphy@gmail.com,Thomas,Murphy,11/5/2019,,Associate Account Executive,63822,11604,0.12,0.15,401 - Sales,2901,Sales,Sales,Associate,US - Remote,E000034,B2B CSAT 80,Permanent Full-time
ACTIVE,E000020,dfdemostagingcharlie.perry@gmail.com,Charlie,Perry,11/13/2019,,Engineering Director,126490,15616,0.20,0.00,201 - Eng B2B,11712,Engineering,Engineering/Management,Director,US - SF Bay Area,E000002,Certify 100% of team members on migrated database,Permanent Full-time
ACTIVE,E000021,dfdemostagingcaroline.baker@gmail.com,Caroline,Baker,12/6/2019,,Senior Account Executive,75874,13412,0.16,0.15,401 - Sales,7664,Sales,Sales,Senior,US - Remote,E000034,2x B2B Customers,Permanent Full-time
ACTIVE,E000022,dfdemostagingryan.grant@gmail.com,Ryan,Grant,1/3/2020,,Director of Customer Success,101733,15184,0.20,0.00,402 - Cust Success,11388,Sales,Customer Success,Director,US - Remote,E000028,Triple follow-up meetings booked per week to 24,Permanent Full-time
ACTIVE,E000023,dfdemostagingsimon.chua@gmail.com,Simon,Chua,1/18/2020,,Senior FE Engineer,78827,11501,0.14,0.00,201 - Eng B2B,4424,Engineering,Engineering/FE,Senior,Asia - Singapore,E000020,Average code review time reduced by 30%,Permanent Full-time
ACTIVE,E000024,dfdemostagingashton.myers@gmail.com,Ashton,Myers,3/25/2020,,Associate Account Executive,63888,11616,0.12,0.15,401 - Sales,2904,Sales,Sales,Associate,US - Remote,E000034,2x B2B Customers,Permanent Full-time
ACTIVE,E000025,dfdemostaginglaura.yong@gmail.com,Laura,Yong,3/28/2020,,Senior FE Engineer,78907,11513,0.14,0.00,201 - Eng B2B,4428,Engineering,Engineering/FE,Senior,Asia - Singapore,E000020,Certify 100% of team members on migrated database,Permanent Full-time
ACTIVE,E000026,dfdemostagingjordan.phillips@gmail.com,Jordan,Phillips,5/8/2020,,BE Engineer,48065,7121,0.12,0.00,202 - Eng B2C,1780,Engineering,Engineering/BE,Mid-level,Europe - Krakow,E000007,Certify 100% of team members on migrated database,Permanent Full-time
ACTIVE,E000027,dfdemostagingcherry.adams@gmail.com,Cherry,Adams,5/26/2020,,Principal Product Manager,95645,13608,0.16,0.00,300 - Product,7776,Product,Product Management,Principal,US - Remote,E000016,Increase Net promoter score by 30% and customer/user satisfaction by 50%,Permanent Full-time
ACTIVE,E000028,dfdemostagingconnie.owens@gmail.com,Connie,Owens,6/1/2020,,Chief Revenue Officer,127908,17442,0.30,0.00,401 - Sales,17442,Sales,Sales,C-level,US - Remote,E000001,Increase Average Revenue Per Account (ARPA) to $20K this Year,Permanent Full-time
ACTIVE,E000029,dfdemostagingroman.ellis@gmail.com,Roman,Ellis,6/3/2020,,Chief Marketing Officer,157368,17064,0.30,0.00,500 - Marketing,17064,Marketing,Marketing/Management,C-level,US - SF Bay Area,E000001,Drive $10M in marketing-generated pipeline by the end of this year,Permanent Full-time
ACTIVE,E000030,dfdemostagingmaximilian.hamilton@gmail.com,Maximilian,Hamilton,7/10/2020,,Senior Account Executive,75953,13426,0.16,0.15,401 - Sales,7672,Sales,Sales,Senior,US - SF Bay Area,E000034,B2B CSAT 80,Permanent Full-time
ACTIVE,E000031,dfdemostagingolivia.owens@gmail.com,Olivia,Owens,7/22/2020,,Senior Product Marketing Manager,86187,12272,0.14,0.00,500 - Marketing,4720,Marketing,Marketing/Product Marketing,Senior,US - SF Bay Area,E000029,Increase Demo : Trial Sign-up to 60%,Permanent Full-time
ACTIVE,E000032,dfdemostagingevelyn.mason@gmail.com,Evelyn,Mason,7/23/2020,,Customer Success Manager,70015,12350,0.14,0.00,402 - Cust Success,4750,Sales,Customer Success,Mid-level,US - Remote,E000022,Triple follow-up meetings booked per week to 24,Permanent Full-time
ACTIVE,E000033,dfdemostagingaida.adams@gmail.com,Aida,Adams,8/3/2020,,Senior FE Engineer,52444,7652,0.14,0.00,202 - Eng B2C,2943,Engineering,Engineering/FE,Senior,Europe - Krakow,E000007,Average code review time reduced by 30%,Permanent Full-time
ACTIVE,E000034,dfdemostaginghailey.hall@gmail.com,Hailey,Hall,8/10/2020,,VP of Sales,113573,16252,0.25,0.15,401 - Sales,14340,Sales,Sales,VP,US - Boston,E000028,4x Consumers,Permanent Full-time
ACTIVE,E000035,dfdemostagingadam.richardson@gmail.com,Adam,Richardson,8/17/2020,,Marketing Communications Manager,78518,11352,0.12,0.00,500 - Marketing,2838,Marketing,Marketing/Marketing communications,Mid-level,US - SF Bay Area,E000029,Research and implement 20 new channels to distribute content,Permanent Full-time
ACTIVE,E000036,dfdemostagingcherry.tucker@gmail.com,Cherry,Tucker,9/2/2020,,Accounting Manager,104075,14115,0.18,0.00,600 - Finance,9410,Finance,Accounting,Manager,US - SF Bay Area,E000046,Decrease the accounts receivables by 30% by year end,Permanent Full-time
ACTIVE,E000037,dfdemostagingkit.chann@gmail.com,Kit,Chann,9/8/2020,,FE Engineer,72244,10703,0.12,0.00,201 - Eng B2B,2676,Engineering,Engineering/FE,Mid-level,Asia - Singapore,E000020,New bug reports reduced from 72/mon to 60/mon,Permanent Full-time
ACTIVE,E000038,dfdemostagingtess.clark@gmail.com,Tess,Clark,10/18/2020,,Product Manager,79786,11676,0.12,0.00,300 - Product,2919,Product,Product Management,Mid-level,US - Remote,E000016,3X User adoption and experience,Permanent Full-time
ACTIVE,E000039,dfdemostagingantony.brown@gmail.com,Antony,Brown,10/18/2020,,Account Executive,69769,12493,0.14,0.15,401 - Sales,4805,Sales,Sales,Mid-level,US - Boston,E000034,2x B2B Customers,Permanent Full-time
ACTIVE,E000040,dfdemostagingamy.turner@gmail.com,Amy,Turner,10/24/2020,,Senior Full Stack Engineer,87496,12766,0.14,0.00,202 - Eng B2C,4910,Engineering,Engineering/Full stack,Senior,US - Boston,E000007,New bug reports reduced from 72/mon to 60/mon,Permanent Full-time
ACTIVE,E000042,dfdemostagingned.payne@gmail.com,Ned,Payne,12/18/2020,,BE Engineer,80352,11904,0.12,0.00,201 - Eng B2B,2976,Engineering,Engineering/BE,Mid-level,US - SF Bay Area,E000020,Certify 100% of team members on migrated database,Permanent Full-time
ACTIVE,E000043,dfdemostaginglilianna.bailey@gmail.com,Lilianna,Bailey,1/8/2021,,Human Resources Manager,98595,14085,0.18,0.00,700 - Admin,9390,Administrative,Administrative/Human Resources,Manager,US - SF Bay Area,E000056,Reduce the average lead time for the vacancy from 45 to 30 days,Permanent Full-time
ACTIVE,E000044,dfdemostagingbrad.harper@gmail.com,Brad,Harper,1/13/2021,,General Counsel,112440,14992,0.20,0.00,700 - Admin,11244,Administrative,Administrative/Legal,Director,US - SF Bay Area,E000056,Decrease external legal spend by 15%,Permanent Full-time
ACTIVE,E000045,dfdemostagingvictor.owens@gmail.com,Victor,Owens,1/26/2021,,Associate Customer Success Manager,63918,11448,0.12,0.00,402 - Cust Success,2862,Sales,Customer Success,Associate,US - Remote,E000022,Triple follow-up meetings booked per week to 24,Permanent Full-time
ACTIVE,E000046,dfdemostagingalford.montgomery@gmail.com,Alford,Montgomery,2/1/2021,,Chief Financial Officer,148994,16974,0.30,0.00,600 - Finance,16974,Finance,Finance/Management,C-level,US - SF Bay Area,E000001,Decrease the accounts receivables by 30% by year end,Permanent Full-time
ACTIVE,E000047,dfdemostagingemily.martin@gmail.com,Emily,Martin,3/15/2021,,Full Stack Engineer,80433,11916,0.12,0.00,201 - Eng B2B,2979,Engineering,Engineering/Full stack,Mid-level,US - SF Bay Area,E000020,Certify 100% of team members on migrated database,Permanent Full-time
ACTIVE,E000048,dfdemostagingkevin.morgan@gmail.com,Kevin,Morgan,5/8/2021,,Senior Product Designer,83226,12610,0.14,0.00,300 - Product,4850,Product,Design,Senior,US - Remote,E000016,3X User adoption and experience,Permanent Full-time
ACTIVE,E000049,dfdemostagingbrianna.ellis@gmail.com,Brianna,Ellis,5/17/2021,,Talent Acquisition Manager,98490,14070,0.18,0.00,700 - Admin,9380,Administrative,Administrative/Talent Acquisition,Manager,US - Remote,E000056,Increase the Offer acceptance rate by 20%,Permanent Full-time
ACTIVE,E000050,dfdemostagingdainton.thomas@gmail.com,Dainton,Thomas,5/18/2021,,Marketing Associate - SEO/SEM,70741,10417,0.10,0.00,500 - Marketing,2368,Marketing,Marketing/SEO-SEM,Associate,US - Remote,E000029,Increase the referral traffic visitors by 30%,Permanent Full-time
ACTIVE,E000051,dfdemostagingashton.hall@gmail.com,Ashton,Hall,6/7/2021,,Senior BE Engineer,87764,12805,0.14,0.00,201 - Eng B2B,4925,Engineering,Engineering/BE,Senior,US - Remote,E000020,New bug reports reduced from 72/mon to 60/mon,Permanent Full-time
ACTIVE,E000052,dfdemostagingadele.moore@gmail.com,Adele,Moore,7/29/2021,,FE Engineer,48114,7128,0.12,0.00,202 - Eng B2C,1782,Engineering,Engineering/FE,Mid-level,Europe - Krakow,E000007,New bug reports reduced from 72/mon to 60/mon,Permanent Full-time
